"ISO3","location_name","location_id","super_region_name","super_region_id","region_name","region_id"
"AFG","Afghanistan",160,"North Africa and Middle East",137,"North Africa and Middle East",137
"AGO","Angola",168,"Sub-Saharan Africa",166,"Central sub-Saharan Africa",167
"ALB","Albania",43,"Central Europe, eastern Europe, and central Asia",31,"Central Europe",42
"AND","Andorra",74,"High-income countries",64,"Western Europe",73
"ARE","United Arab Emirates",156,"North Africa and Middle East",137,"North Africa and Middle East",137
"ARG","Argentina",97,"High-income countries",64,"Southern Latin America",96
"ARM","Armenia",33,"Central Europe, eastern Europe, and central Asia",31,"Central Asia",32
"ASM","American Samoa",298,"Southeast Asia, east Asia, and Oceania",4,"Oceania",21
"ATG","Antigua and Barbuda",105,"Latin America and Caribbean",103,"Caribbean",104
"AUS","Australia",71,"High-income countries",64,"Australasia",70
"AUT","Austria",75,"High-income countries",64,"Western Europe",73
"AZE","Azerbaijan",34,"Central Europe, eastern Europe, and central Asia",31,"Central Asia",32
"BDI","Burundi",175,"Sub-Saharan Africa",166,"Eastern sub-Saharan Africa",174
"BEL","Belgium",76,"High-income countries",64,"Western Europe",73
"BEN","Benin",200,"Sub-Saharan Africa",166,"Western sub-Saharan Africa",199
"BFA","Burkina Faso",201,"Sub-Saharan Africa",166,"Western sub-Saharan Africa",199
"BGD","Bangladesh",161,"South Asia",158,"South Asia",158
"BGR","Bulgaria",45,"Central Europe, eastern Europe, and central Asia",31,"Central Europe",42
"BHR","Bahrain",140,"North Africa and Middle East",137,"North Africa and Middle East",137
"BHS","Bahamas",106,"Latin America and Caribbean",103,"Caribbean",104
"BIH","Bosnia and Herzegovina",44,"Central Europe, eastern Europe, and central Asia",31,"Central Europe",42
"BLR","Belarus",57,"Central Europe, eastern Europe, and central Asia",31,"Eastern Europe",56
"BLZ","Belize",108,"Latin America and Caribbean",103,"Caribbean",104
"BMU","Bermuda",305,"Latin America and Caribbean",103,"Caribbean",104
"BOL","Bolivia",121,"Latin America and Caribbean",103,"Andean Latin America",120
"BRA","Brazil",135,"Latin America and Caribbean",103,"Tropical Latin America",134
"BRB","Barbados",107,"Latin America and Caribbean",103,"Caribbean",104
"BRN","Brunei",66,"High-income countries",64,"High-income Asia Pacific",65
"BTN","Bhutan",162,"South Asia",158,"South Asia",158
"BWA","Botswana",193,"Sub-Saharan Africa",166,"Southern sub-Saharan Africa",192
"CAF","Central African Republic",169,"Sub-Saharan Africa",166,"Central sub-Saharan Africa",167
"CAN","Canada",101,"High-income countries",64,"High-income North America",100
"CHE","Switzerland",94,"High-income countries",64,"Western Europe",73
"CHL","Chile",98,"High-income countries",64,"Southern Latin America",96
"CHN","China",6,"Southeast Asia, east Asia, and Oceania",4,"East Asia",5
"CIV","Cote d'Ivoire",205,"Sub-Saharan Africa",166,"Western sub-Saharan Africa",199
"CMR","Cameroon",202,"Sub-Saharan Africa",166,"Western sub-Saharan Africa",199
"COD","Democratic Republic of the Congo",171,"Sub-Saharan Africa",166,"Central sub-Saharan Africa",167
"COG","Congo",170,"Sub-Saharan Africa",166,"Central sub-Saharan Africa",167
"COK","Cook Islands",320,"Southeast Asia, east Asia, and Oceania",4,"Oceania",21
"COL","Colombia",125,"Latin America and Caribbean",103,"Central Latin America",124
"COM","Comoros",176,"Sub-Saharan Africa",166,"Eastern sub-Saharan Africa",174
"CPV","Cabo Verde",203,"Sub-Saharan Africa",166,"Western sub-Saharan Africa",199
"CRI","Costa Rica",126,"Latin America and Caribbean",103,"Central Latin America",124
"CUB","Cuba",109,"Latin America and Caribbean",103,"Caribbean",104
"CYP","Cyprus",77,"High-income countries",64,"Western Europe",73
"CZE","Czechia",47,"Central Europe, eastern Europe, and central Asia",31,"Central Europe",42
"DEU","Germany",81,"High-income countries",64,"Western Europe",73
"DJI","Djibouti",177,"Sub-Saharan Africa",166,"Eastern sub-Saharan Africa",174
"DMA","Dominica",110,"Latin America and Caribbean",103,"Caribbean",104
"DNK","Denmark",78,"High-income countries",64,"Western Europe",73
